Order_ID,Date,Month,Quarter,Region,City,Category,Sub_Category,Product,Sales_Rep,Sales_Channel,Customer_ID,Customer_Segment,Customer_Age,Customer_Gender,Units_Sold,Unit_Price,Discount_Pct,Tax_Rate,Shipping_Cost,Payment_Method,Customer_Rating,Return_Flag,Delivery_Days,Revenue,Profit
ORD10363,2023-04-14,April,Q2,South,Jaipur,Electronics,Cameras,Product_158,Ethan,Telephone,CUST8481,Retail,50.0,Female,6.0,220.4,0.2,0.1,120.44,Debit Card,4.6,Yes,7.0,1057.92,141.42
ORD12604,2023-07-18,July,Q3,North,Ahmedabad,Beauty,Fragrance,Product_166,Bob,Partner,CUST2724,Corporate,60.0,Other,180.0,1193.69,0.17,0.15,,Net Banking,3.4,No,7.0,178337.29,33690.65
ORD14391,2022-09-27,September,Q3,West,Kolkata,Toys,Board Games,Product_186,Ethan,Mobile App,CUST9749,Corporate,29.0,Female,39.0,6.92,0.38,0.06,15.84,UPI,2.4,No,,167.33,21.45
ORD12743,2023-07-04,July,Q3,West,Ahmedabad,Electronics,Mobiles,Product_150,Fiona,Online,CUST5329,Corporate,44.0,Male,157.0,587.14,0.22,0.05,60.95,Credit Card,3.1,No,4.0,71901.16,24523.28
ORD12081,2022-07-24,July,Q3,West,Ahmedabad,Toys,Educational,Product_72,Charlie,Mobile App,CUST4020,Wholesale,28.0,Female,189.0,450.3,0.49,0.13,54.32,Net Banking,1.2,No,11.0,43404.42,8420.44
ORD13007,2023-07-10,July,Q3,West,Pune,Automotive,Accessories,Product_47,Fiona,Mobile App,CUST1514,Retail,55.0,Male,150.0,317.91,0.24,0.14,94.76,Wallet,2.2,Yes,13.0,36241.74,15168.48
ORD14334,2022-07-14,July,Q3,North,Kolkata,Toys,Board Games,Product_84,Julia,Telephone,CUST4555,Retail,27.0,Other,141.0,920.96,0.3,0.06,83.23,Debit Card,3.6,No,14.0,90898.75,39231.02
ORD14404,2023-02-28,February,Q1,North,Ahmedabad,Furniture,Outdoor,Product_53,Ethan,Mobile App,CUST5109,Corporate,35.0,Male,101.0,1485.38,0.02,0.06,106.18,UPI,4.6,No,4.0,147022.91,38790.82
ORD13759,2023-06-15,June,Q2,North,Hyderabad,Beauty,Makeup,Product_105,Hannah,In-Store,CUST4730,Wholesale,,Other,162.0,1130.33,0.5,0.12,143.74,UPI,2.0,No,8.0,91556.73,4586.66
ORD14661,2023-05-25,May,Q2,North,Delhi,Sports,Team Sports,Product_18,Bob,Mobile App,CUST1908,Retail,47.0,Other,132.0,1186.44,0.44,0.09,92.03,UPI,3.7,No,8.0,87701.64,28061.3
ORD10762,2022-04-28,April,Q2,West,Lucknow,Sports,Water Sports,Product_31,Bob,Mobile App,CUST1477,Retail,71.0,Other,41.0,207.51,0.28,0.14,118.07,,4.9,No,3.0,6125.7,1061.28
ORD14459,2023-10-01,October,Q4,North,Mumbai,Furniture,Living Room,Product_75,Ethan,Mobile App,CUST3352,VIP,35.0,Other,116.0,112.98,0.2,0.06,45.36,Cash,5.0,No,13.0,10484.54,2678.78
ORD13914,2023-01-17,January,Q1,Central,Delhi,Clothing,Winter,Product_197,Ivan,In-Store,CUST7770,Retail,36.0,Other,81.0,105.15,0.42,0.1,112.96,Cash,1.7,No,12.0,4939.95,1354.29
ORD11693,2023-11-16,November,Q4,West,Lucknow,Automotive,Electronics,Product_49,George,Telephone,CUST2652,Wholesale,29.0,Male,120.0,169.25,0.03,0.13,62.98,UPI,3.2,No,10.0,19700.7,7061.08
ORD10648,2022-03-21,March,Q1,West,,Automotive,Accessories,Product_146,Charlie,Online,CUST9836,VIP,65.0,Male,142.0,1027.38,0.02,0.08,110.62,UPI,4.1,No,3.0,,31192.62
ORD14368,2022-03-25,March,Q1,East,Kolkata,Clothing,Men,Product_148,Diana,Telephone,CUST4083,Corporate,54.0,Male,154.0,,0.29,0.11,144.03,Credit Card,1.1,No,5.0,133050.38,43409.89
ORD13878,2023-01-04,January,Q1,South,Jaipur,Groceries,Snacks,Product_163,Bob,Partner,CUST6525,VIP,27.0,Female,46.0,278.47,0.16,0.07,127.52,Wallet,2.6,No,3.0,10760.08,2950.58
ORD13986,2023-02-08,February,Q1,Central,Lucknow,Sports,Team Sports,Product_26,Hannah,Mobile App,CUST7681,Retail,33.0,Male,99.0,,0.3,0.06,46.89,UPI,1.2,No,8.0,80166.24,13127.84
ORD13274,2023-01-21,January,Q1,East,Ahmedabad,Electronics,Tablets,Product_150,Ivan,Partner,CUST2397,VIP,59.0,Male,130.0,87.76,0.02,0.17,10.27,Net Banking,4.8,No,6.0,11180.62,1553.85
ORD13056,2022-06-02,June,Q2,East,Delhi,Beauty,Makeup,Product_161,Ethan,Mobile App,CUST9520,Retail,54.0,Male,118.0,1197.14,0.18,0.07,100.89,Cash,2.4,No,,115835.27,38010.14
ORD12452,2022-12-02,December,Q4,Central,Bangalore,Toys,Board Games,Product_193,Alice,Partner,CUST5037,Wholesale,21.0,Other,37.0,527.67,0.47,0.07,43.27,Wallet,3.2,No,1.0,10347.61,3174.87
ORD14460,2023-08-25,August,Q3,North,Chennai,Electronics,Mobiles,Product_129,Julia,Mobile App,CUST2927,Corporate,60.0,Female,87.0,225.44,0.09,0.11,35.81,UPI,3.6,No,12.0,17848.08,1405.68
ORD13182,2022-11-12,November,Q4,West,Kolkata,Automotive,Electronics,Product_145,Ivan,Mobile App,CUST5066,Corporate,32.0,Female,,1368.75,,0.06,63.03,Net Banking,1.5,No,4.0,104627.25,13060.48
ORD11665,2023-06-24,June,Q2,North,Pune,Toys,Educational,Product_187,Charlie,Partner,CUST4210,Corporate,41.0,Female,171.0,223.3,0.04,0.05,75.61,Credit Card,2.2,Yes,5.0,36656.93,13786.26
ORD13556,2022-12-26,December,Q4,East,Ahmedabad,Clothing,Kids,Product_134,Julia,Telephone,CUST8271,Retail,34.0,Male,193.0,115.74,0.02,0.11,16.67,UPI,4.4,No,9.0,21891.06,9704.93
ORD13608,2023-10-11,October,Q4,Central,Kolkata,Toys,Action Figures,Product_6,George,Mobile App,CUST3238,VIP,74.0,Female,77.0,792.59,0.2,0.1,135.32,Net Banking,1.0,No,12.0,48823.54,5670.75
ORD10250,2023-04-30,April,Q2,South,Lucknow,Toys,Action Figures,Product_81,Diana,Telephone,CUST1416,Wholesale,59.0,Other,164.0,793.88,0.1,0.07,112.16,UPI,3.5,No,2.0,117176.69,44623.02
